semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;411775.0;4267;6372;18;0.0;0.0
2;439750.0;3403;6531;30;0.0;0.0
3;456759.0;2099;6771;32;0.0;0.0
4;471469.0;2123;6961;26;0.0;0.0
5;487139.0;2241;7103;17;0.0;0.0
6;502523.0;2154;7222;17;0.0;0.0
7;517335.0;1970;7368;19;0.0;0.0
8;528396.0;1571;7510;26;0.0;0.0
9;541791.0;1857;7701;29;0.0;0.0
10;555953.0;2261;7945;39;0.0;0.0
11;571882.0;2564;8359;74;0.0;0.0
12;592831.0;2989;8816;61;0.0;0.0
13;610980.0;2587;9364;89;0.0;0.0
14;631186.0;2837;9959;82;0.0;0.0
15;649355.0;2574;10564;87;0.0;0.0
16;666693.0;2396;11210;93;0.0;0.0
17;684607.0;2652;11796;79;0.0;0.0
18;703245.0;2613;12427;91;0.0;0.0
19;719040.0;2139;13073;101;0.0;0.0
20;735124.0;2541;13619;72;0.0;0.0
21;757600.0;3564;14181;78;0.0;0.0
22;781697.0;3256;14651;57;0.0;0.0
23;802064.0;2383;15056;58;0.0;0.0
24;817892.0;2418;15493;68;0.0;0.0
25;833339.0;1943;15901;53;0.0;0.0
26;843915.0;1359;16189;34;0.0;0.0
27;853979.0;1474;16405;23;0.0;0.0
28;862172.0;839;16551;21;0.0;0.0
29;868882.0;1208;16658;7;0.0;0.0
30;876513.0;956;16702;6;0.0;0.0
31;883217.0;748;16741;7;0.0;0.0
32;888678.0;899;16746;-2;0.0;0.0
33;891400.0;106;16737;3;0.0;0.0
34;892091.0;78;16785;6;0.0;0.0
35;892563.0;74;16846;9;0.0;0.0
36;892941.0;42;16874;1;0.0;0.0
37;893489.0;112;16877;0;0.0;0.0
38;894311.0;114;16883;2;0.0;0.0
39;894975.0;78;16896;2;0.0;0.0
40;895472.0;51;16916;2;0.0;0.0
41;895761.0;53;16941;4;0.0;0.0
42;896122.0;47;16967;5;0.0;0.0
43;896423.0;28;16984;1;0.0;0.0
44;896555.0;15;16991;1;0.0;0.0
45;896711.0;22;16999;1;0.0;0.0
46;896812.0;13;17008;1;0.0;0.0
47;896909.0;11;17016;2;0.0;0.0
48;896985.0;18;17021;0;0.0;0.0
49;897141.0;24;17026;1;0.0;0.0
50;897269.0;15;17031;0;0.0;0.0
51;384581.0;5;7301;1;0.0;0.0
53;112565.0;865;1798;5;0.0;0.0
