semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;13;13;0;0;0.0;0.0
14;346;69;6;1;0.0;0.0
15;1325;206;68;20;0.0;0.0
16;3735;574;232;17;0.0;0.0
17;9149;806;394;43;0.0;0.0
18;15685;1140;929;97;0.0;0.0
19;23602;1200;1587;93;0.0;0.0
20;34599;1589;2336;108;0.0;0.0
21;44990;1517;3030;96;0.0;0.0
22;57869;1768;3537;46;0.0;0.0
23;67355;1188;3744;28;0.0;0.0
24;78692;1762;4136;72;0.0;0.0
25;85690;691;4670;84;0.0;0.0
26;88611;293;5233;83;0.0;0.0
27;92039;655;5828;74;0.0;0.0
28;97565;790;6405;88;0.0;0.0
29;102359;637;7059;97;0.0;0.0
30;106997;672;7608;63;0.0;0.0
31;111709;693;7941;35;0.0;0.0
32;116706;701;8079;12;0.0;0.0
33;121141;540;8172;19;0.0;0.0
34;124572;511;8315;18;0.0;0.0
35;128457;599;8405;10;0.0;0.0
36;132772;592;8452;7;0.0;0.0
37;135709;351;8522;9;0.0;0.0
38;138514;451;8573;8;0.0;0.0
39;142784;686;8622;8;0.0;0.0
40;147687;710;8670;5;0.0;0.0
41;152552;688;8733;11;0.0;0.0
42;157144;578;8771;1;0.0;0.0
43;159971;379;8771;0;0.0;0.0
44;162467;347;8777;1;0.0;0.0
45;165560;455;8785;2;0.0;0.0
46;169233;589;8832;10;0.0;0.0
47;173451;545;8894;7;0.0;0.0
48;176588;392;8914;2;0.0;0.0
49;178447;261;8955;7;0.0;0.0
50;180389;256;8995;6;0.0;0.0
51;182071;242;9027;4;0.0;0.0
52;183780;222;9060;5;0.0;0.0
53;132446;204;6491;2;0.0;0.0
