semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;9;9;0;0;0.0;0.0
14;112;10;12;2;0.0;0.0
15;184;14;23;3;0.0;0.0
16;444;61;35;0;0.0;0.0
17;1059;110;46;3;0.0;0.0
18;2145;216;71;5;0.0;0.0
19;4146;313;110;6;0.0;0.0
20;6593;413;174;10;0.0;0.0
21;9924;480;293;18;0.0;0.0
22;13396;531;449;36;0.0;0.0
23;18267;980;713;36;0.0;0.0
24;25671;1090;1079;66;0.0;0.0
25;34169;1394;1584;72;0.0;0.0
26;44635;1477;2111;78;0.0;0.0
27;58245;2470;2705;98;0.0;0.0
28;74440;2318;3365;73;0.0;0.0
29;88305;1460;3861;79;0.0;0.0
30;99670;1904;4362;66;0.0;0.0
31;114458;2272;4773;58;0.0;0.0
32;129692;2190;5174;51;0.0;0.0
33;143997;1957;5546;55;0.0;0.0
34;157591;1664;5873;46;0.0;0.0
35;168619;1711;6165;39;0.0;0.0
36;179234;1393;6404;29;0.0;0.0
37;191300;1751;6595;25;0.0;0.0
38;202675;1562;6759;21;0.0;0.0
39;213565;1572;6912;21;0.0;0.0
40;224767;1565;7072;25;0.0;0.0
41;235346;1455;7243;25;0.0;0.0
42;245367;1470;7438;29;0.0;0.0
43;255531;1308;7605;18;0.0;0.0
44;263119;900;7706;15;0.0;0.0
45;269612;970;7818;13;0.0;0.0
46;278008;1329;7891;15;0.0;0.0
47;285423;923;7991;11;0.0;0.0
48;292084;1068;8073;13;0.0;0.0
49;304546;2074;8171;13;0.0;0.0
50;316674;1524;8267;13;0.0;0.0
51;325989;1310;8332;7;0.0;0.0
52;335052;1190;8398;11;0.0;0.0
53;245288;1325;6048;11;0.0;0.0
