semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;46;46;4;4;0.0;0.0
14;453;73;39;6;0.0;0.0
15;1999;367;163;24;0.0;0.0
16;6168;769;443;60;0.0;0.0
17;13404;1279;892;68;0.0;0.0
18;24531;1919;1610;105;0.0;0.0
19;38288;2135;2352;126;0.0;0.0
20;55303;2825;3387;180;0.0;0.0
21;78465;3511;5023;262;0.0;0.0
22;99006;2241;6693;229;0.0;0.0
23;112230;1530;8017;171;0.0;0.0
24;122109;1407;9513;249;0.0;0.0
25;131442;1289;11031;131;0.0;0.0
26;139875;1050;12056;188;0.0;0.0
27;146616;959;12946;89;0.0;0.0
28;154912;1349;13511;74;0.0;0.0
29;164114;1220;14001;66;0.0;0.0
30;172779;1460;14378;47;0.0;0.0
31;184135;1634;14749;49;0.0;0.0
32;193562;1121;15062;49;0.0;0.0
33;201592;1293;15358;37;0.0;0.0
34;210460;1060;15610;26;0.0;0.0
35;217740;1105;15828;42;0.0;0.0
36;220663;-85;16053;20;0.0;0.0
37;223326;812;16216;24;0.0;0.0
38;229916;829;16394;33;0.0;0.0
39;237299;971;16582;26;0.0;0.0
40;241527;627;16752;20;0.0;0.0
41;245102;465;16915;18;0.0;0.0
42;248342;407;16971;6;0.0;0.0
43;251361;486;17035;10;0.0;0.0
44;254945;576;17129;19;0.0;0.0
45;257908;338;17271;21;0.0;0.0
46;261839;677;17414;18;0.0;0.0
47;268464;1217;17534;19;0.0;0.0
48;278242;1552;17697;27;0.0;0.0
49;289583;1535;17877;21;0.0;0.0
50;301934;2077;18046;26;0.0;0.0
51;315558;2012;18253;44;0.0;0.0
52;331498;2165;18592;40;0.0;0.0
53;248254;2498;13429;21;0.0;0.0
