semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;22;22;0;0;0.0;0.0
14;384;69;4;1;0.0;0.0
15;809;40;18;2;0.0;0.0
16;1223;105;33;2;0.0;0.0
17;2188;134;49;4;0.0;0.0
18;3579;297;78;3;0.0;0.0
19;5303;205;108;7;0.0;0.0
20;7266;416;189;17;0.0;0.0
21;11033;577;313;14;0.0;0.0
22;15882;1043;531;50;0.0;0.0
23;23479;706;842;40;0.0;0.0
24;31613;1621;1149;43;0.0;0.0
25;41978;2253;1542;79;0.0;0.0
26;58608;1941;2152;83;0.0;0.0
27;82991;3670;3166;161;0.0;0.0
28;97941;1701;3886;83;0.0;0.0
29;109197;1919;4360;74;0.0;0.0
30;121494;1207;4808;44;0.0;0.0
31;130608;1740;5211;122;0.0;0.0
32;141623;1062;5901;24;0.0;0.0
33;148772;688;6100;34;0.0;0.0
34;151554;456;6355;43;0.0;0.0
35;154937;501;6619;32;0.0;0.0
36;158324;530;6771;9;0.0;0.0
37;160793;201;6821;5;0.0;0.0
38;163159;423;6850;9;0.0;0.0
39;166091;380;6911;3;0.0;0.0
40;168459;370;6938;6;0.0;0.0
41;171990;521;6964;2;0.0;0.0
42;176070;939;7111;65;0.0;0.0
43;183461;525;7443;9;0.0;0.0
44;184390;77;7506;5;0.0;0.0
45;185498;349;7541;3;0.0;0.0
46;187753;202;7582;11;0.0;0.0
47;189482;571;7640;6;0.0;0.0
48;197092;1577;7689;8;0.0;0.0
49;207814;1028;7775;14;0.0;0.0
50;214085;1073;7900;21;0.0;0.0
51;221987;1063;8022;18;0.0;0.0
52;231498;1349;8212;27;0.0;0.0
53;169971;902;5972;22;0.0;0.0
