semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;82;82;0;0;0.0;0.0
14;1070;133;19;5;0.0;0.0
15;2064;138;69;6;0.0;0.0
16;3664;406;90;8;0.0;0.0
17;7191;544;206;19;0.0;0.0
18;11883;797;426;40;0.0;0.0
19;19310;1242;710;49;0.0;0.0
20;30738;1925;1115;58;0.0;0.0
21;48440;2817;1667;79;0.0;0.0
22;67656;2707;2556;179;0.0;0.0
23;93823;4933;3603;136;0.0;0.0
24;125456;4008;4691;149;0.0;0.0
25;151844;3392;5634;156;0.0;0.0
26;183118;8075;6907;181;0.0;0.0
27;244801;6853;8273;191;0.0;0.0
28;284451;4682;9478;159;0.0;0.0
29;312721;3663;10370;113;0.0;0.0
30;343042;5623;11096;108;0.0;0.0
31;382200;5250;11865;146;0.0;0.0
32;417443;4956;13230;180;0.0;0.0
33;454360;5615;14317;160;0.0;0.0
34;489789;4404;15507;154;0.0;0.0
35;518755;4017;16521;139;0.0;0.0
36;543261;2814;17094;50;0.0;0.0
37;559246;2014;17446;61;0.0;0.0
38;574434;2212;17883;50;0.0;0.0
39;589673;2133;18507;106;0.0;0.0
40;601526;955;19072;71;0.0;0.0
41;609003;1237;19465;42;0.0;0.0
42;618305;1352;19737;42;0.0;0.0
43;626556;1093;19972;34;0.0;0.0
44;635215;1120;20189;26;0.0;0.0
45;641486;1053;20361;25;0.0;0.0
46;651086;1479;20519;16;0.0;0.0
47;662148;1775;20657;25;0.0;0.0
48;675071;2134;20845;28;0.0;0.0
49;692674;2429;21063;35;0.0;0.0
50;711714;2869;21487;59;0.0;0.0
51;730024;2814;21722;37;0.0;0.0
52;749099;2242;21988;31;0.0;0.0
53;544548;1919;15820;19;0.0;0.0
