semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;13;13;0;0;0.0;0.0
14;105;4;7;2;0.0;0.0
15;189;20;14;0;0.0;0.0
16;467;70;23;4;0.0;0.0
17;1714;320;98;12;0.0;0.0
18;5428;697;203;23;0.0;0.0
19;9823;552;400;32;0.0;0.0
20;14511;848;722;58;0.0;0.0
21;21006;909;1137;62;0.0;0.0
22;30386;1674;1612;69;0.0;0.0
23;47540;2733;2239;107;0.0;0.0
24;63282;2271;2880;74;0.0;0.0
25;80521;2102;3425;79;0.0;0.0
26;95701;2259;3894;56;0.0;0.0
27;108989;1718;4235;42;0.0;0.0
28;121039;1757;4436;24;0.0;0.0
29;134003;1768;4590;23;0.0;0.0
30;142929;1412;4794;32;0.0;0.0
31;153659;1627;5002;30;0.0;0.0
32;163620;1086;5246;37;0.0;0.0
33;169793;927;5492;30;0.0;0.0
34;175563;541;5681;28;0.0;0.0
35;179849;558;5887;29;0.0;0.0
36;182476;366;6113;33;0.0;0.0
37;184776;579;6295;25;0.0;0.0
38;189000;571;6468;20;0.0;0.0
39;195907;713;6578;16;0.0;0.0
40;199613;919;6690;16;0.0;0.0
41;203602;144;6811;15;0.0;0.0
42;204512;108;6874;7;0.0;0.0
43;205479;147;6923;7;0.0;0.0
44;206390;145;6972;7;0.0;0.0
45;207537;217;7021;7;0.0;0.0
46;209685;278;7070;7;0.0;0.0
47;211552;310;7119;7;0.0;0.0
48;214143;477;7168;7;0.0;0.0
49;218655;782;7217;7;0.0;0.0
50;225570;1062;7266;7;0.0;0.0
51;234955;1498;7316;8;0.0;0.0
52;243366;1131;7430;23;0.0;0.0
53;179592;1007;5418;19;0.0;0.0
